,column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal
,4,g1g1,0.581089016,0.581089016,0.581089016,0.58100757,0.58100757,0.58100757,0.580949273,0.580949273,0.580949273,0.580860605,0.580860605,0.580860605,,,4,g1g1,67.63247896,67.63247896,67.63247896,72.09454917,72.54934936,81.60679415,161.7439386,162.6767959,172.972261,212.7357464,217.2129242,243.2770783,,,,,,,
,4,mixed,0.087822118,0.087822118,0.087822118,0.087841568,0.087841568,0.087841568,0.087985271,0.087985271,0.087985271,0.088001185,0.088001185,0.088001185,,,4,mixed,67.72814974,67.72814974,135.4562995,116.5415402,187.5212966,302.0539699,161.249883,209.3012828,329.3634432,272.7374384,413.0214559,648.9419719,,,,,,,
,4,g2g2,0.331088866,0.331088866,0.331088866,0.331150863,0.331150863,0.331150863,0.331065456,0.331065456,0.331065456,0.33113821,0.33113821,0.33113821,,,4,g2g2,67.73220442,135.4644088,203.1966133,156.4580922,312.9161844,469.3742767,161.4434019,312.9803164,472.3443754,334.6508022,657.3376348,990.3037295,,,,,,,
,5,g1g1,0.602619421,0.602619421,0.602619421,0.60243665,0.60243665,0.60243665,0.6024697,0.6024697,0.6024697,0.602246179,0.602246179,0.602246179,,,5,g1g1,67.68697872,67.68697872,67.68697872,69.8409925,70.02498116,73.57818199,161.8357028,162.2747469,167.1322949,210.2163938,212.1728159,224.2691686,,,,,,,
,5,mixed,0.044761309,0.044761309,0.044761309,0.044822762,0.044822762,0.044822762,0.044763508,0.044763508,0.044763508,0.044752407,0.044752407,0.044752407,,,5,mixed,67.97113982,67.9711398,135.9422796,117.3507495,190.0353326,305.5256257,161.5170067,212.7385968,334.4581227,274.4510366,421.9359733,662.5847021,,,,,,,
,5,g2g2,0.352619271,0.352619271,0.352619271,0.352740588,0.352740588,0.352740588,0.352766792,0.352766792,0.352766792,0.353001413,0.353001413,0.353001413,,,5,g2g2,67.68370675,135.3674135,203.0511202,159.1784903,318.3569806,477.5354709,161.5096139,318.3128597,478.8488651,337.3926799,669.1242397,1005.709249,,,,,,,
,6,g1g1,0.613672123,0.613672123,0.613672123,0.61367551,0.61367551,0.61367551,0.613408681,0.613408681,0.613408681,0.613301867,0.613301867,0.613301867,,,6,g1g1,67.65334414,67.65334414,67.65334414,68.70581365,68.7853435,70.40557126,161.6811745,161.8795424,164.3048535,208.3144712,209.2688741,215.2733169,,,,,,,
,6,mixed,0.022655905,0.022655905,0.022655905,0.022627015,0.022627015,0.022627015,0.022674074,0.022674074,0.022674074,0.022691936,0.022691936,0.022691936,,,6,mixed,67.58899662,67.58899662,135.1779932,118.2418341,192.1011419,308.1555708,160.0026124,210.0745446,329.0159319,277.8276614,432.9367782,678.2408215,,,,,,,
,6,g2g2,0.363671973,0.363671973,0.363671973,0.363697475,0.363697475,0.363697475,0.363917245,0.363917245,0.363917245,0.364006197,0.364006197,0.364006197,,,6,g2g2,67.67298716,135.3459744,203.0189615,160.3707013,320.7414025,481.1121037,161.4416098,320.5356275,481.5588889,339.4979877,676.2333019,1015.462727,,,,,,,
,7,g1g1,0.619321724,0.619321724,0.619321724,0.619392845,0.619392845,0.619392845,0.619255165,0.619255165,0.619255165,0.619342133,0.619342133,0.619342133,,,7,g1g1,67.59131042,67.59131042,67.59131041,68.15366712,68.19973892,68.96033555,161.7480156,161.8411901,162.977081,207.8240233,208.2844663,211.1008553,,,,,,,
